CalendarKey,FullDate,Month,DayOfMonth,Year,DayOfWeek,Quarter
1,1/1/2014 0:00:00,1,1,2014,Wednesday,1
2,1/3/2014 0:00:00,1,3,2014,Friday,1
3,1/4/2014 0:00:00,1,4,2014,Saturday,1
4,1/6/2014 0:00:00,1,6,2014,Monday,1
5,1/7/2014 0:00:00,1,7,2014,Tuesday,1
6,1/8/2014 0:00:00,1,8,2014,Wednesday,1
7,1/9/2014 0:00:00,1,9,2014,Thursday,1
8,1/10/2014 0:00:00,1,10,2014,Friday,1
9,1/11/2014 0:00:00,1,11,2014,Saturday,1
10,1/12/2014 0:00:00,1,12,2014,Sunday,1
11,1/27/2014 0:00:00,1,27,2014,Monday,1
12,1/28/2014 0:00:00,1,28,2014,Tuesday,1
13,1/29/2014 0:00:00,1,29,2014,Wednesday,1
14,2/1/2014 0:00:00,2,1,2014,Saturday,1
15,2/3/2014 0:00:00,2,3,2014,Monday,1
16,2/4/2014 0:00:00,2,4,2014,Tuesday,1
17,2/6/2014 0:00:00,2,6,2014,Thursday,1
18,2/8/2014 0:00:00,2,8,2014,Saturday,1
19,2/9/2014 0:00:00,2,9,2014,Sunday,1
20,2/10/2014 0:00:00,2,10,2014,Monday,1
21,2/11/2014 0:00:00,2,11,2014,Tuesday,1
22,2/25/2014 0:00:00,2,25,2014,Tuesday,1
23,2/26/2014 0:00:00,2,26,2014,Wednesday,1
24,2/28/2014 0:00:00,2,28,2014,Friday,1
25,3/1/2014 0:00:00,3,1,2014,Saturday,1
26,3/3/2014 0:00:00,3,3,2014,Monday,1
27,3/4/2014 0:00:00,3,4,2014,Tuesday,1
28,3/6/2014 0:00:00,3,6,2014,Thursday,1
29,3/8/2014 0:00:00,3,8,2014,Saturday,1
30,3/9/2014 0:00:00,3,9,2014,Sunday,1
31,3/10/2014 0:00:00,3,10,2014,Monday,1
32,3/11/2014 0:00:00,3,11,2014,Tuesday,1
33,3/25/2014 0:00:00,3,25,2014,Tuesday,1
34,3/26/2014 0:00:00,3,26,2014,Wednesday,1
35,3/28/2014 0:00:00,3,28,2014,Friday,1
36,3/29/2014 0:00:00,3,29,2014,Saturday,1
37,4/1/2014 0:00:00,4,1,2014,Tuesday,2
38,4/3/2014 0:00:00,4,3,2014,Thursday,2
39,4/4/2014 0:00:00,4,4,2014,Friday,2
40,4/6/2014 0:00:00,4,6,2014,Sunday,2
41,4/7/2014 0:00:00,4,7,2014,Monday,2
42,4/8/2014 0:00:00,4,8,2014,Tuesday,2
43,4/10/2014 0:00:00,4,10,2014,Thursday,2
44,4/11/2014 0:00:00,4,11,2014,Friday,2
45,4/12/2014 0:00:00,4,12,2014,Saturday,2
46,4/28/2014 0:00:00,4,28,2014,Monday,2
47,4/29/2014 0:00:00,4,29,2014,Tuesday,2
48,5/1/2014 0:00:00,5,1,2014,Thursday,2
49,5/3/2014 0:00:00,5,3,2014,Saturday,2
50,5/4/2014 0:00:00,5,4,2014,Sunday,2
51,5/6/2014 0:00:00,5,6,2014,Tuesday,2
52,5/7/2014 0:00:00,5,7,2014,Wednesday,2
53,5/8/2014 0:00:00,5,8,2014,Thursday,2
54,5/9/2014 0:00:00,5,9,2014,Friday,2
55,5/10/2014 0:00:00,5,10,2014,Saturday,2
56,5/11/2014 0:00:00,5,11,2014,Sunday,2
57,5/25/2014 0:00:00,5,25,2014,Sunday,2
58,5/26/2014 0:00:00,5,26,2014,Monday,2
59,5/28/2014 0:00:00,5,28,2014,Wednesday,2
60,5/29/2014 0:00:00,5,29,2014,Thursday,2
61,6/1/2014 0:00:00,6,1,2014,Sunday,2
62,6/3/2014 0:00:00,6,3,2014,Tuesday,2
63,6/4/2014 0:00:00,6,4,2014,Wednesday,2
64,6/6/2014 0:00:00,6,6,2014,Friday,2
65,6/7/2014 0:00:00,6,7,2014,Saturday,2
66,6/8/2014 0:00:00,6,8,2014,Sunday,2
67,6/9/2014 0:00:00,6,9,2014,Monday,2
68,6/10/2014 0:00:00,6,10,2014,Tuesday,2
69,6/11/2014 0:00:00,6,11,2014,Wednesday,2
70,6/25/2014 0:00:00,6,25,2014,Wednesday,2
71,6/26/2014 0:00:00,6,26,2014,Thursday,2
72,6/28/2014 0:00:00,6,28,2014,Saturday,2
73,6/29/2014 0:00:00,6,29,2014,Sunday,2
74,7/1/2014 0:00:00,7,1,2014,Tuesday,3
75,7/3/2014 0:00:00,7,3,2014,Thursday,3
76,7/4/2014 0:00:00,7,4,2014,Friday,3
77,7/6/2014 0:00:00,7,6,2014,Sunday,3
78,7/8/2014 0:00:00,7,8,2014,Tuesday,3
79,7/9/2014 0:00:00,7,9,2014,Wednesday,3
80,7/10/2014 0:00:00,7,10,2014,Thursday,3
81,7/11/2014 0:00:00,7,11,2014,Friday,3
82,7/25/2014 0:00:00,7,25,2014,Friday,3
83,7/26/2014 0:00:00,7,26,2014,Saturday,3
84,7/28/2014 0:00:00,7,28,2014,Monday,3
85,7/29/2014 0:00:00,7,29,2014,Tuesday,3
86,8/1/2014 0:00:00,8,1,2014,Friday,3
87,8/4/2014 0:00:00,8,4,2014,Monday,3
88,8/6/2014 0:00:00,8,6,2014,Wednesday,3
89,8/7/2014 0:00:00,8,7,2014,Thursday,3
90,8/8/2014 0:00:00,8,8,2014,Friday,3
91,8/9/2014 0:00:00,8,9,2014,Saturday,3
92,8/10/2014 0:00:00,8,10,2014,Sunday,3
93,8/11/2014 0:00:00,8,11,2014,Monday,3
94,8/25/2014 0:00:00,8,25,2014,Monday,3
95,8/26/2014 0:00:00,8,26,2014,Tuesday,3
96,8/28/2014 0:00:00,8,28,2014,Thursday,3
97,8/29/2014 0:00:00,8,29,2014,Friday,3
98,9/1/2014 0:00:00,9,1,2014,Monday,3
99,9/3/2014 0:00:00,9,3,2014,Wednesday,3
100,9/4/2014 0:00:00,9,4,2014,Thursday,3
101,9/6/2014 0:00:00,9,6,2014,Saturday,3
102,9/8/2014 0:00:00,9,8,2014,Monday,3
103,9/9/2014 0:00:00,9,9,2014,Tuesday,3
104,9/10/2014 0:00:00,9,10,2014,Wednesday,3
105,9/11/2014 0:00:00,9,11,2014,Thursday,3
106,9/25/2014 0:00:00,9,25,2014,Thursday,3
107,9/26/2014 0:00:00,9,26,2014,Friday,3
108,9/28/2014 0:00:00,9,28,2014,Sunday,3
109,9/29/2014 0:00:00,9,29,2014,Monday,3
110,10/1/2014 0:00:00,10,1,2014,Wednesday,4
111,10/3/2014 0:00:00,10,3,2014,Friday,4
112,10/4/2014 0:00:00,10,4,2014,Saturday,4
113,10/6/2014 0:00:00,10,6,2014,Monday,4
114,10/7/2014 0:00:00,10,7,2014,Tuesday,4
115,10/8/2014 0:00:00,10,8,2014,Wednesday,4
116,10/9/2014 0:00:00,10,9,2014,Thursday,4
117,10/10/2014 0:00:00,10,10,2014,Friday,4
118,10/11/2014 0:00:00,10,11,2014,Saturday,4
119,10/25/2014 0:00:00,10,25,2014,Saturday,4
120,10/26/2014 0:00:00,10,26,2014,Sunday,4
121,10/28/2014 0:00:00,10,28,2014,Tuesday,4
122,10/29/2014 0:00:00,10,29,2014,Wednesday,4
123,11/1/2014 0:00:00,11,1,2014,Saturday,4
124,11/3/2014 0:00:00,11,3,2014,Monday,4
125,11/4/2014 0:00:00,11,4,2014,Tuesday,4
126,11/6/2014 0:00:00,11,6,2014,Thursday,4
127,11/8/2014 0:00:00,11,8,2014,Saturday,4
128,11/9/2014 0:00:00,11,9,2014,Sunday,4
129,11/10/2014 0:00:00,11,10,2014,Monday,4
130,11/11/2014 0:00:00,11,11,2014,Tuesday,4
131,11/25/2014 0:00:00,11,25,2014,Tuesday,4
132,11/26/2014 0:00:00,11,26,2014,Wednesday,4
133,11/28/2014 0:00:00,11,28,2014,Friday,4
134,11/29/2014 0:00:00,11,29,2014,Saturday,4
135,12/1/2014 0:00:00,12,1,2014,Monday,4
136,12/3/2014 0:00:00,12,3,2014,Wednesday,4
137,12/4/2014 0:00:00,12,4,2014,Thursday,4
138,12/6/2014 0:00:00,12,6,2014,Saturday,4
139,12/7/2014 0:00:00,12,7,2014,Sunday,4
140,12/8/2014 0:00:00,12,8,2014,Monday,4
141,12/9/2014 0:00:00,12,9,2014,Tuesday,4
142,12/10/2014 0:00:00,12,10,2014,Wednesday,4
143,12/11/2014 0:00:00,12,11,2014,Thursday,4
144,12/12/2014 0:00:00,12,12,2014,Friday,4
145,12/25/2014 0:00:00,12,25,2014,Thursday,4
146,12/26/2014 0:00:00,12,26,2014,Friday,4
147,12/27/2014 0:00:00,12,27,2014,Saturday,4
148,12/28/2014 0:00:00,12,28,2014,Sunday,4
149,12/29/2014 0:00:00,12,29,2014,Monday,4
